,,Power,Xt,P,P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,,1h
2022/1/22,1:00:00,0.674346693,8.51762182,1024.3,0.445783133,8.428093,8.317358,8.2534685,8.2294035,8.106733,,8.921088219
2022/1/22,2:00:00,0.637132967,8.355955428,1024,0.409638554,8.453943,8.428093,8.317358,8.2534685,8.2294035,,8.351918221
2022/1/22,3:00:00,0.702253632,8.626411325,1023.9,0.397590361,8.362135,8.453943,8.428093,8.317358,8.2534685,,8.334478378
2022/1/22,4:00:00,0.839482486,9.176501756,1023.8,0.385542169,8.18324,8.362135,8.453943,8.428093,8.317358,,8.799489021
2022/1/22,5:00:00,0.961601683,9.628446375,1023.8,0.385542169,7.953359,8.18324,8.362135,8.453943,8.428093,,9.455511093
2022/1/22,6:00:00,0.996541645,9.764875998,1023.9,0.397590361,7.726482,7.953359,8.18324,8.362135,8.453943,,9.753307343
2022/1/22,7:00:00,0.989959765,9.744392575,1024.1,0.421686747,7.537161,7.726482,7.953359,8.18324,8.362135,,9.648151398
2022/1/22,8:00:00,1.009928688,9.816625309,1024.2,0.43373494,7.4156413,7.537161,7.726482,7.953359,8.18324,,9.537613869
2022/1/22,9:00:00,1.07796035,10.0593129,1024.7,0.493975904,7.3705916,7.4156413,7.537161,7.726482,7.953359,,9.65982914
2022/1/22,10:00:00,0.779367048,8.96794424,1024.6,0.481927711,7.3718085,7.3705916,7.4156413,7.537161,7.726482,,9.973667145
2022/1/22,11:00:00,0.769055519,8.957694528,1025.1,0.542168675,7.210929,7.3718085,7.3705916,7.4156413,7.537161,,7.851127625
2022/1/22,12:00:00,0.944006243,9.658332628,1025.6,0.602409639,6.959199,7.210929,7.3718085,7.3705916,7.4156413,,9.111311913
2022/1/22,13:00:00,0.910672573,9.562382,1025,0.530120482,6.772297,6.959199,7.210929,7.3718085,7.3705916,,9.721912384
2022/1/22,14:00:00,0.774479682,9.061262503,1023.9,0.397590361,6.5986056,6.772297,6.959199,7.210929,7.3718085,,9.163200378
2022/1/22,15:00:00,0.654188634,8.554888544,1022.9,0.277108434,6.3869915,6.5986056,6.772297,6.959199,7.210929,,8.559609413
2022/1/22,16:00:00,0.577762953,8.221770302,1022.4,0.21686747,6.1486073,6.3869915,6.5986056,6.772297,6.959199,,8.079185486
2022/1/22,17:00:00,0.524429409,7.977593137,1022.4,0.21686747,5.9420404,6.1486073,6.3869915,6.5986056,6.772297,,7.889092445
2022/1/22,18:00:00,0.583020529,8.218830888,1022.5,0.228915663,5.8236237,5.9420404,6.1486073,6.3869915,6.5986056,,7.702606201
2022/1/22,19:00:00,0.838887109,9.25181057,1022.6,0.240963855,5.8518333,5.8236237,5.9420404,6.1486073,6.3869915,,8.300844193
2022/1/22,20:00:00,0.94938999,9.654198324,1022.8,0.265060241,6.066764,5.8518333,5.8236237,5.9420404,6.1486073,,9.791721344
2022/1/22,21:00:00,0.913810372,9.50835823,1023.1,0.301204819,6.350085,6.066764,5.8518333,5.8236237,5.9420404,,9.54059124
2022/1/22,22:00:00,0.863155784,9.305710997,1023.1,0.301204819,6.6050916,6.350085,6.066764,5.8518333,5.8236237,,9.255924225
2022/1/22,23:00:00,0.878260604,9.35241727,1023.3,0.325301205,6.813618,6.6050916,6.350085,6.066764,5.8518333,,9.010796547
2022/1/23,0:00:00,0.903423013,9.443549443,1023.5,0.34939759,6.990412,6.813618,6.6050916,6.350085,6.066764,,9.266438484
2022/1/23,1:00:00,0.919485362,9.503777075,1023.5,0.34939759,7.147138,6.990412,6.813618,6.6050916,6.350085,,9.312548637
2022/1/23,2:00:00,0.92499868,9.523847422,1022.9,0.277108434,7.3075128,7.147138,6.990412,6.813618,6.6050916,,9.39205265
2022/1/23,3:00:00,0.905586151,9.447352244,1022.3,0.204819277,7.4574842,7.3075128,7.147138,6.990412,6.813618,,9.362721443
2022/1/23,4:00:00,0.879952516,9.346431325,1022.1,0.180722892,7.5519724,7.4574842,7.3075128,7.147138,6.990412,,9.225928307
2022/1/23,5:00:00,0.870027565,9.30897721,1021.9,0.156626506,7.5539327,7.5519724,7.4574842,7.3075128,7.147138,,9.123738289
2022/1/23,6:00:00,0.788516708,9.011509707,1021.9,0.156626506,7.4654045,7.5539327,7.5519724,7.4574842,7.3075128,,9.126992226
2022/1/23,7:00:00,0.671401155,8.521711392,1021.9,0.156626506,7.3000736,7.4654045,7.5539327,7.5519724,7.4574842,,8.621823311
2022/1/23,8:00:00,0.615789684,8.288238703,1022.1,0.180722892,7.0720677,7.3000736,7.4654045,7.5539327,7.5519724,,8.106229782
2022/1/23,9:00:00,0.650778716,8.436936667,1022.4,0.21686747,6.817838,7.0720677,7.3000736,7.4654045,7.5539327,,8.072870255
2022/1/23,10:00:00,0.552120942,8.022501756,1022.7,0.253012048,6.5903335,6.817838,7.0720677,7.3000736,7.4654045,,8.429871559
2022/1/23,11:00:00,0.424366704,7.34653772,1023,0.289156627,6.474848,6.5903335,6.817838,7.0720677,7.3000736,,7.593375683
2022/1/23,12:00:00,0.410816416,7.292434927,1023.7,0.373493976,6.3627234,6.474848,6.5903335,6.817838,7.0720677,,6.951487541
2022/1/23,13:00:00,0.368717432,7.077498597,1022.9,0.277108434,6.26236,6.3627234,6.474848,6.5903335,6.817838,,7.269385815
2022/1/23,14:00:00,0.30228604,6.62498323,1022.1,0.180722892,6.2431283,6.26236,6.3627234,6.474848,6.5903335,,6.89004612
2022/1/23,15:00:00,0.242997726,6.189046262,1021.3,0.084337349,6.3148403,6.2431283,6.26236,6.3627234,6.474848,,6.423714638
2022/1/23,16:00:00,0.207769554,5.897887588,1020.7,0.012048193,6.4665303,6.3148403,6.2431283,6.26236,6.3627234,,6.025019646
2022/1/23,17:00:00,0.195988232,5.771041129,1020.7,0.012048193,6.6744266,6.4665303,6.3148403,6.2431283,6.26236,,5.841945648
2022/1/23,18:00:00,0.277957296,6.439575781,1020.6,0,6.90686,6.6744266,6.4665303,6.3148403,6.2431283,,5.827368259
2022/1/23,19:00:00,0.374088378,7.097445594,1020.9,0.036144578,7.1316123,6.90686,6.6744266,6.4665303,6.3148403,,6.938553333
2022/1/23,20:00:00,0.425402897,7.370192686,1021.5,0.108433735,7.328122,7.1316123,6.90686,6.6744266,6.4665303,,7.556679726
2022/1/23,21:00:00,0.419503811,7.328635488,1021.7,0.13253012,7.5207214,7.328122,7.1316123,6.90686,6.6744266,,7.63202858
2022/1/23,22:00:00,0.41240443,7.283009814,1022.1,0.180722892,7.7058425,7.5207214,7.328122,7.1316123,6.90686,,7.400715828
2022/1/23,23:00:00,0.404982563,7.239472767,1022.2,0.192771084,7.8796887,7.7058425,7.5207214,7.328122,7.1316123,,7.357683182
2022/1/24,0:00:00,0.414386208,7.290251934,1022.5,0.228915663,8.044747,7.8796887,7.7058425,7.5207214,7.328122,,7.295867443
2022/1/24,1:00:00,0.410588816,7.268756933,1022.6,0.240963855,8.191035,8.044747,7.8796887,7.7058425,7.5207214,,7.414396763
2022/1/24,2:00:00,0.42125078,7.326384568,1022.3,0.204819277,8.286823,8.191035,8.044747,7.8796887,7.7058425,,7.334227085
2022/1/24,3:00:00,0.447806785,7.470767318,1022.1,0.180722892,8.297332,8.286823,8.191035,8.044747,7.8796887,,7.455169201
2022/1/24,4:00:00,0.478446198,7.637278493,1022.5,0.228915663,8.207605,8.297332,8.286823,8.191035,8.044747,,7.617166519
2022/1/24,5:00:00,0.497595228,7.741315674,1022.4,0.21686747,8.028274,8.207605,8.297332,8.286823,8.191035,,7.780469894
2022/1/24,6:00:00,0.499004311,7.748147023,1022.4,0.21686747,7.781451,8.028274,8.207605,8.297332,8.286823,,7.825651169
2022/1/24,7:00:00,0.50155762,7.761387682,1022.6,0.240963855,7.5297275,7.781451,8.028274,8.207605,8.297332,,7.765573978
2022/1/24,8:00:00,0.490057033,7.697545038,1023,0.289156627,7.3186216,7.5297275,7.781451,8.028274,8.207605,,7.779477596
2022/1/24,9:00:00,0.477196799,7.624993152,1023.4,0.337349398,7.1289105,7.3186216,7.5297275,7.781451,8.028274,,7.651021004
2022/1/24,10:00:00,0.353634089,6.94107171,1023.7,0.373493976,6.937404,7.1289105,7.3186216,7.5297275,7.781451,,7.589065075
2022/1/24,11:00:00,0.234161328,6.075570785,1024,0.409638554,6.7625756,6.937404,7.1289105,7.3186216,7.5297275,,6.543622494
2022/1/24,12:00:00,0.232538372,6.076144626,1024.7,0.493975904,6.6077065,6.7625756,6.937404,7.1289105,7.3186216,,5.714065075
2022/1/24,13:00:00,0.207989935,5.868205065,1024.4,0.457831325,6.4983006,6.6077065,6.7625756,6.937404,7.1289105,,6.153805256
2022/1/24,14:00:00,0.155146424,5.326706732,1023.8,0.385542169,6.457819,6.4983006,6.6077065,6.7625756,6.937404,,5.814852715
2022/1/24,15:00:00,0.10629092,4.740256545,1023.4,0.337349398,6.496776,6.457819,6.4983006,6.6077065,6.7625756,,5.22000742
2022/1/24,16:00:00,0.07443135,4.262678404,1023.1,0.301204819,6.626279,6.496776,6.457819,6.4983006,6.6077065,,4.636303902
2022/1/24,17:00:00,0.066275204,4.138549659,1023.4,0.337349398,6.8529224,6.626279,6.496776,6.457819,6.4983006,,4.232470036
2022/1/24,18:00:00,0.094538711,4.555007881,1023.9,0.397590361,7.1654043,6.8529224,6.626279,6.496776,6.457819,,4.283288002
2022/1/24,19:00:00,0.126695162,5.011185683,1024,0.409638554,7.4725966,7.1654043,6.8529224,6.626279,6.496776,,4.963571072
2022/1/24,20:00:00,0.154868571,5.294782216,1024.3,0.445783133,7.724451,7.4725966,7.1654043,6.8529224,6.626279,,5.506902695
2022/1/24,21:00:00,0.138837713,5.1247381,1024.7,0.493975904,7.912516,7.724451,7.4725966,7.1654043,6.8529224,,5.741148472
2022/1/24,22:00:00,0.111286396,4.771076455,1025.1,0.542168675,8.040761,7.912516,7.724451,7.4725966,7.1654043,,5.35494709
2022/1/24,23:00:00,0.095318455,4.535690765,1025.6,0.602409639,8.109572,8.040761,7.912516,7.724451,7.4725966,,4.907133579
2022/1/25,0:00:00,0.06047879,4.027001399,1025.9,0.638554217,8.124093,8.109572,8.040761,7.912516,7.724451,,4.702744484
2022/1/25,1:00:00,0.063134627,4.065840831,1025.8,0.626506024,8.086449,8.124093,8.109572,8.040761,7.912516,,4.117209911
2022/1/25,2:00:00,0.090321562,4.462155904,1025.8,0.626506024,7.9960055,8.086449,8.124093,8.109572,8.040761,,4.363181114
2022/1/25,3:00:00,0.143471332,5.165640395,1025.7,0.614457831,7.825716,7.9960055,8.086449,8.124093,8.109572,,4.930081367
2022/1/25,4:00:00,0.252367986,6.197632589,1025.6,0.602409639,7.5367513,7.825716,7.9960055,8.086449,8.124093,,5.812977314
2022/1/25,5:00:00,0.413208417,7.277167364,1025.3,0.56626506,7.1018543,7.5367513,7.825716,7.9960055,8.086449,,7.009386063
2022/1/25,6:00:00,0.609554591,8.269680507,1025.3,0.56626506,6.5432067,7.1018543,7.5367513,7.825716,7.9960055,,8.080307961
2022/1/25,7:00:00,0.767620852,8.937415163,1025.3,0.56626506,5.9481616,6.5432067,7.1018543,7.5367513,7.825716,,8.949048996
2022/1/25,8:00:00,0.869328477,9.317313366,1025.7,0.614457831,5.4410634,5.9481616,6.5432067,7.1018543,7.5367513,,9.321853638
2022/1/25,9:00:00,0.907927906,9.452410917,1026.1,0.662650602,5.1688614,5.4410634,5.9481616,6.5432067,7.1018543,,9.48624897
2022/1/25,10:00:00,0.665077578,8.494439856,1026.6,0.722891566,5.213354,5.1688614,5.4410634,5.9481616,6.5432067,,9.433103561
2022/1/25,11:00:00,0.495022555,7.731268161,1027.1,0.78313253,5.5227594,5.213354,5.1688614,5.4410634,5.9481616,,7.759212971
2022/1/25,12:00:00,0.492364758,7.743977503,1027,0.771084337,5.9078975,5.5227594,5.213354,5.1688614,5.4410634,,7.408068657
2022/1/25,13:00:00,0.444199078,7.500823252,1026.4,0.698795181,6.2482767,5.9078975,5.5227594,5.213354,5.1688614,,7.723501682
2022/1/25,14:00:00,0.355520706,7.01804028,1025.9,0.638554217,6.467797,6.2482767,5.9078975,5.5227594,5.213354,,7.282037735
2022/1/25,15:00:00,0.278224829,6.45119838,1024.9,0.518072289,6.516228,6.467797,6.2482767,5.9078975,5.5227594,,6.757194519
2022/1/25,16:00:00,0.211639255,5.932837195,1024.6,0.481927711,6.410091,6.516228,6.467797,6.2482767,5.9078975,,6.144519806
2022/1/25,17:00:00,0.166387244,5.454185289,1024.7,0.493975904,6.225031,6.410091,6.516228,6.467797,6.2482767,,5.67969656
2022/1/25,18:00:00,0.139495309,5.160574514,1024.7,0.493975904,6.0474334,6.225031,6.410091,6.516228,6.467797,,5.246181488
2022/1/25,19:00:00,0.109317012,4.759745859,1024.9,0.518072289,5.9447527,6.0474334,6.225031,6.410091,6.516228,,5.083745956
2022/1/25,20:00:00,0.110427273,4.770078803,1025.5,0.590361446,5.9417005,5.9447527,6.0474334,6.225031,6.410091,,4.680867672
2022/1/25,21:00:00,0.118631555,4.886159238,1025.2,0.554216867,6.073877,5.9417005,5.9447527,6.0474334,6.225031,,4.91750288
2022/1/25,22:00:00,0.142458534,5.161161983,1025.4,0.578313253,6.3422914,6.073877,5.9417005,5.9447527,6.0474334,,5.114581108
2022/1/25,23:00:00,0.183175384,5.573395745,1025.5,0.590361446,6.7164693,6.3422914,6.073877,5.9417005,5.9447527,,5.509578228
2022/1/26,0:00:00,0.242781993,6.125772231,1025.2,0.554216867,7.141063,6.7164693,6.3422914,6.073877,5.9417005,,6.000646114
2022/1/26,1:00:00,0.332609293,6.774403412,1025.1,0.542168675,7.571655,7.141063,6.7164693,6.3422914,6.073877,,6.626182079
2022/1/26,2:00:00,0.453529528,7.483443076,1024.7,0.493975904,7.944433,7.571655,7.141063,6.7164693,6.3422914,,7.309776783
2022/1/26,3:00:00,0.67960773,8.5517797,1024.6,0.481927711,8.214369,7.944433,7.571655,7.141063,6.7164693,,8.023084641
2022/1/26,4:00:00,0.798854907,9.052121725,1024.4,0.457831325,8.366232,8.214369,7.944433,7.571655,7.141063,,9.272509575
2022/1/26,5:00:00,0.719734296,8.723800758,1024.3,0.445783133,8.421768,8.366232,8.214369,7.944433,7.571655,,9.265012741
2022/1/26,6:00:00,0.703696818,8.657262726,1023.8,0.385542169,8.405548,8.421768,8.366232,8.214369,7.944433,,8.491042137
2022/1/26,7:00:00,0.699124667,8.641451569,1023.6,0.361445783,8.286852,8.405548,8.421768,8.366232,8.214369,,8.692890167
2022/1/26,8:00:00,0.640342623,8.396317421,1024.1,0.421686747,8.025305,8.286852,8.405548,8.421768,8.366232,,8.560582161
2022/1/26,9:00:00,0.627759865,8.344959758,1024.3,0.445783133,7.6536584,8.025305,8.286852,8.405548,8.421768,,8.219677925
2022/1/26,10:00:00,0.577448512,8.136393929,1024.6,0.481927711,7.288781,7.6536584,8.025305,8.286852,8.405548,,8.310790062
2022/1/26,11:00:00,0.499077695,7.758754574,1024.6,0.481927711,7.0611415,7.288781,7.6536584,8.025305,8.286852,,7.922681332
2022/1/26,12:00:00,0.69506534,8.673668267,1024.6,0.481927711,6.8773108,7.0611415,7.288781,7.6536584,8.025305,,7.502882004
2022/1/26,13:00:00,0.791788596,9.103577548,1023.9,0.397590361,6.761849,6.8773108,7.0611415,7.288781,7.6536584,,9.252305984
2022/1/26,14:00:00,0.862144188,9.391674692,1023,0.289156627,6.707562,6.761849,6.8773108,7.0611415,7.288781,,9.017059326
2022/1/26,15:00:00,0.904136997,9.564415615,1022.2,0.192771084,6.6926103,6.707562,6.761849,6.8773108,7.0611415,,9.494966507
2022/1/26,16:00:00,0.889945985,9.511932836,1022,0.168674699,6.690529,6.6926103,6.707562,6.761849,6.8773108,,9.393595695
2022/1/26,17:00:00,0.711279278,8.794676506,1021.8,0.144578313,6.67009,6.690529,6.6926103,6.707562,6.761849,,9.277973175
2022/1/26,18:00:00,0.595517905,8.278443191,1021.8,0.144578313,6.560985,6.67009,6.690529,6.6926103,6.707562,,8.096974373
2022/1/26,19:00:00,0.899411752,9.501952913,1022.2,0.192771084,6.3883686,6.560985,6.67009,6.690529,6.6926103,,7.956093788
